Transactions for FY,2021
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-02-22 14:22:06,XBT,"Fee for Bought 0.001305 BTC/ZAR @ 766,002",,,,,,,,0.76
2021-02-23 05:33:49,ETH,"Fee for Bought 0.08285 ETH/ZAR @ 24,140",,,,,,,,1.97
2021-02-28 19:07:32,XBT,"Fee for Bought 0.00146 BTC/ZAR @ 684,483",,,,,,,,0.68

Balances at end of FY,2021
Currency,Total Units,Total Value (ZAR),Lot Ref,Lot Qty,Lot Unit Cost (ZAR)
BCH,0.01531969,100.00,,,
BCH,,,385e07fc,0.01531969,6527.55
ETH,1.80443966,44204.39,,,
ETH,,,ef4eca27,0.00020066,25300.00
ETH,,,cf7b915f,0.02099100,25449.95
ETH,,,9a99282c,0.04709800,25449.91
ETH,,,286f6d1a,0.03191100,25449.84
ETH,,,068b3f2a,0.10000000,25501.00
ETH,,,28bedb6b,0.10000000,25425.00
ETH,,,41dc1e26,0.10000000,24950.00
ETH,,,caa4c0f5,0.10000000,24601.00
ETH,,,dfbf52e2,0.10000000,25715.00
ETH,,,6d2fba2f,0.03266000,29239.74
ETH,,,13766b4a,0.03454200,28949.97
ETH,,,6bec0869,0.03489100,28659.83
ETH,,,45fb9711,0.03603400,27750.74
ETH,,,01bdd2de,0.03649600,27399.99
ETH,,,ad45188b,0.03724100,26851.86
ETH,,,08aee054,0.03800100,26314.83
ETH,,,7179c336,0.03841700,26029.88
ETH,,,1fcb23ee,0.10000000,24005.00
ETH,,,99361d0a,0.10000000,23600.00
ETH,,,308e3006,0.10000000,23200.00
ETH,,,fcea8af6,0.04049400,24694.77
ETH,,,ec400593,0.04132000,24200.87
ETH,,,cf4300b7,0.04216300,23716.77
ETH,,,ca328fde,0.08285000,24139.89
ETH,,,d90fe77b,0.04302500,23241.84
ETH,,,5ce31867,0.02172100,23008.61
ETH,,,3bf9d594,0.00000900,22222.22
ETH,,,89a9ec0b,0.04390300,22776.80
ETH,,,021e4f88,0.02207500,22649.60
ETH,,,fac0921d,0.04433600,22554.81
ETH,,,050f28a9,0.04524200,22102.91
ETH,,,328e4a2d,0.04587100,21799.83
ETH,,,51a6f82b,0.04683800,21349.97
ETH,,,805fd4c5,0.04780100,20919.86
ETH,,,5b0c51a4,0.04830900,20699.87
XBT,0.06026354,43541.76,,,
XBT,,,240cd3d5,0.00888854,722000.00
XBT,,,e299e6f8,0.00500000,701000.00
XBT,,,73324cd4,0.00500000,691000.00
XBT,,,bede0364,0.00500000,685100.00
XBT,,,e96a293e,0.00500000,678100.00
XBT,,,cd7ece9f,0.00500000,671000.00
XBT,,,1e2d9f87,0.00050000,840520.00
XBT,,,c18ce7d3,0.00050000,840520.00
XBT,,,1bfd6532,0.00018900,840529.10
XBT,,,d67b6f91,0.00117600,849906.46
XBT,,,7026b4da,0.00119500,836794.98
XBT,,,c8b5680f,0.00120600,828996.68
