Boughts for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-03-23 19:25:31,XRP,Bought 200.00 XRP/ZAR @ 8.22,B_XRP_031,802dd545,200.00000000,8.22,1644.00,0.00,0.00,0.00
2021-03-23 20:57:53,XRP,Bought 200.00 XRP/ZAR @ 8.11,B_XRP_032,fbf1e614,200.00000000,8.11,1622.00,0.00,0.00,0.00
2021-03-23 21:33:44,XBT,"Bought 0.01 BTC/ZAR @ 801,000",B_XBT_096,c7d74850,0.01000000,801000.00,8010.00,0.00,0.00,0.00
2021-03-24 06:31:48,XRP,Bought 200.00 XRP/ZAR @ 8.11,B_XRP_033,7b4a0397,200.00000000,8.11,1622.00,0.00,0.00,0.00
2021-03-24 06:31:48,LTC,"Bought 0.2401 LTC/ZAR @ 2,839",B_LTC_060,eb461427,0.24010000,2838.98,681.64,0.00,0.00,0.00
2021-03-24 06:32:15,XBT,"Bought 0.002 BTC/ZAR @ 771,000",B_XBT_097,c8c298ed,0.00200000,771000.00,1542.00,0.00,0.00,0.00
2021-03-24 06:32:17,XBT,"Bought 0.003 BTC/ZAR @ 769,000",B_XBT_098,2148ddcf,0.00300000,769000.00,2307.00,0.00,0.00,0.00
2021-03-24 06:33:43,LTC,"Bought 0.1492 LTC/ZAR @ 2,839",B_LTC_061,c4a4812c,0.14920000,2838.94,423.57,0.00,0.00,0.00
2021-03-24 06:33:46,LTC,"Bought 0.1107 LTC/ZAR @ 2,839",B_LTC_062,f0be5ab4,0.11070000,2838.93,314.27,0.00,0.00,0.00
2021-03-24 07:04:29,XRP,Bought 200.00 XRP/ZAR @ 8.01,B_XRP_034,c14dd228,200.00000000,8.01,1602.00,0.00,0.00,0.00
2021-03-24 19:10:30,XRP,Bought 200.00 XRP/ZAR @ 8.20,B_XRP_035,da703070,200.00000000,8.20,1640.00,0.00,0.00,0.00
2021-03-24 19:28:30,XRP,Bought 200.00 XRP/ZAR @ 8.10,B_XRP_036,c769497d,200.00000000,8.10,1620.00,0.00,0.00,0.00
2021-03-24 19:32:49,ETH,"Bought 0.20 ETH/ZAR @ 25,280",B_ETH_061,6281d28e,0.20000000,25280.00,5056.00,0.00,0.00,0.00
2021-03-24 19:39:51,XBT,"Bought 0.01 BTC/ZAR @ 840,000",B_XBT_099,6d580419,0.01000000,840000.00,8400.00,0.00,0.00,0.00
2021-03-24 19:40:39,XRP,Bought 180.00 XRP/ZAR @ 8.01,B_XRP_037,eab8ca27,180.00000000,8.01,1441.80,0.00,0.00,0.00
2021-03-24 19:40:51,XRP,Bought 20.00 XRP/ZAR @ 8.01,B_XRP_038,16a39c65,20.00000000,8.01,160.20,0.00,0.00,0.00
2021-03-24 19:44:38,XRP,Bought 300.00 XRP/ZAR @ 7.85,B_XRP_039,819c2130,300.00000000,7.85,2355.00,0.00,0.00,0.00
2021-03-24 20:17:30,XBT,"Bought 0.01 BTC/ZAR @ 831,000",B_XBT_100,16f4b503,0.01000000,831000.00,8310.00,0.00,0.00,0.00
2021-03-24 20:18:55,XBT,"Bought 0.01 BTC/ZAR @ 830,540",B_XBT_101,ea6230e1,0.01000000,830540.00,8305.40,0.00,0.00,0.00
2021-03-24 20:20:41,LTC,"Bought 0.4926 LTC/ZAR @ 2,852",B_LTC_063,0a408694,0.49260000,2851.99,1404.89,0.00,0.00,0.00
2021-03-24 20:27:18,LTC,"Bought 0.0074 LTC/ZAR @ 2,852",B_LTC_064,9afef46a,0.00740000,2851.35,21.10,0.00,0.00,0.00
2021-03-24 22:18:04,XBT,"Bought 0.01 BTC/ZAR @ 815,000",B_XBT_102,0b285f71,0.01000000,815000.00,8150.00,0.00,0.00,0.00
2021-03-24 22:18:16,ETH,"Bought 0.20 ETH/ZAR @ 24,460",B_ETH_062,4ade0990,0.20000000,24460.00,4892.00,0.00,0.00,0.00
2021-03-24 22:18:58,LTC,"Bought 1.00 LTC/ZAR @ 2,780",B_LTC_065,6f51b082,1.00000000,2780.00,2780.00,0.00,0.00,0.00
2021-03-24 22:20:20,LTC,"Bought 1.00 LTC/ZAR @ 2,711",B_LTC_066,eb075de3,1.00000000,2711.00,2711.00,0.00,0.00,0.00
2021-03-25 01:59:33,XRP,Bought 300.00 XRP/ZAR @ 7.31,B_XRP_040,47f4bb4e,300.00000000,7.31,2193.00,0.00,0.00,0.00
2021-03-25 02:00:19,XBT,"Bought 0.01 BTC/ZAR @ 801,000",B_XBT_103,96af638c,0.01000000,801000.00,8010.00,0.00,0.00,0.00
2021-03-25 02:00:36,LTC,"Bought 0.50 LTC/ZAR @ 2,674",B_LTC_067,db728a9a,0.50000000,2674.00,1337.00,0.00,0.00,0.00
2021-03-25 02:00:59,XRP,Bought 300.00 XRP/ZAR @ 7.24,B_XRP_041,1aad41e4,300.00000000,7.24,2172.00,0.00,0.00,0.00
2021-03-25 12:11:33,LTC,"Bought 1.00 LTC/ZAR @ 2,643",B_LTC_068,91015e26,1.00000000,2643.00,2643.00,0.00,0.00,0.00
2021-03-25 12:28:30,XBT,"Bought 0.005 BTC/ZAR @ 781,000",B_XBT_104,e12edbda,0.00500000,781000.00,3905.00,0.00,0.00,0.00
2021-03-25 12:36:07,ETH,"Bought 0.20 ETH/ZAR @ 23,970",B_ETH_063,9989d8af,0.20000000,23970.00,4794.00,0.00,0.00,0.00
2021-03-26 06:14:41,XBT,"Bought 0.005 BTC/ZAR @ 786,000",B_XBT_105,b84ba182,0.00500000,786000.00,3930.00,0.00,0.00,0.00
2021-03-27 11:14:49,ETH,"Bought 0.20 ETH/ZAR @ 25,570",B_ETH_064,968124b3,0.20000000,25570.00,5114.00,0.00,0.00,0.00
2021-03-27 12:10:02,XRP,Bought 200.00 XRP/ZAR @ 8.30,B_XRP_042,33157b2d,200.00000000,8.30,1660.00,0.00,0.00,0.00
2021-03-27 12:10:56,XRP,Bought 72.00 XRP/ZAR @ 8.24,B_XRP_043,b61988d5,72.00000000,8.24,593.28,0.00,0.00,0.00
2021-03-27 12:10:57,XRP,Bought 82.00 XRP/ZAR @ 8.24,B_XRP_044,56a6cd56,82.00000000,8.24,675.68,0.00,0.00,0.00
2021-03-27 12:11:11,XRP,Bought 246.00 XRP/ZAR @ 8.24,B_XRP_045,54b400ba,246.00000000,8.24,2027.04,0.00,0.00,0.00
2021-03-27 13:21:13,XBT,"Bought 0.01 BTC/ZAR @ 818,000",B_XBT_106,ff78e724,0.01000000,818000.00,8180.00,0.00,0.00,0.00
2021-03-28 12:01:01,XRP,Bought 200.00 XRP/ZAR @ 8.11,B_XRP_046,a118ac3d,200.00000000,8.11,1622.00,0.00,0.00,0.00
2021-03-29 09:48:21,LTC,"Bought 1.00 LTC/ZAR @ 2,861",B_LTC_069,cc5ca95c,1.00000000,2861.00,2861.00,0.00,0.00,0.00
2021-03-30 04:02:46,LTC,"Bought 1.00 LTC/ZAR @ 2,858",B_LTC_070,f34da1eb,1.00000000,2858.00,2858.00,0.00,0.00,0.00
2021-03-30 04:05:14,XBT,"Bought 0.01 BTC/ZAR @ 838,000",B_XBT_107,80d6dc8d,0.01000000,838000.00,8380.00,0.00,0.00,0.00
2021-03-31 03:01:59,XRP,Bought 300.00 XRP/ZAR @ 8.33,B_XRP_047,c396bfc7,300.00000000,8.33,2499.00,0.00,0.00,0.00
