Financial Year,Coin,Sale Reference,Lot Reference,Quantity Sold,Unit Cost (ZAR),Total Cost (ZAR),Selling Price (ZAR),Proceeds (ZAR),Profit/Loss (ZAR),Fee Reference,Fee Amount (ZAR)
FY2022,ETH,1d9a14b0,in_buy_748968200a9b1f,0.00328266,32968.909696350268702,108.22572110382117305730732,43178.8591302279956006,141.741513712434232038265596,33.515792608613058980958276,,0
FY2022,XRP,1e072a37,in_buy_63bcb5ee24d482,3.964,23.01,91.21164,16.89,66.95196,-24.25968,,0
FY2022,XRP,1e072a37,in_buy_7377f9aea7edd5,1.036,25.19,26.09684,16.89,17.49804,-8.5988,,0
FY2022,XRP,1e072a37,in_buy_914d482be8e7e2,40,23.2,928,16.89,675.6,-252.4,,0
FY2022,XRP,1e072a37,in_buy_707bcb4de493df,42,24.71,1037.82,16.89,709.38,-328.44,,0
FY2022,XRP,1e072a37,in_buy_dafcd0ffbc39e7,43,23.2,997.6,16.89,726.27,-271.33,,0
FY2022,ETH,1e5a4bf6,in_buy_a85bb52463b64b,0.00016734,25425,4.2546195,25282,4.23068988,-0.02392962,,0
FY2022,ETH,1e5a4bf6,in_buy_6658557b75be54,0.04983266,25501,1270.78266266,25282,1259.86931012,-10.91335254,,0
FY2022,LTC,1e90ea64,in_buy_0cb163e3da4c3c,0.0044,4836,21.2784,2222.7272727272727273,9.78000000000000000012,-11.49839999999999999988,,0
FY2022,XRP,1ea07c35,in_buy_1df4d5f9090f41,1,11.6,11.6,16.2,16.2,4.6,,0
FY2022,XRP,1ebaf6e1,in_buy_6f956bb3c26937,33.221,11.53,383.03813,18.75,622.89375,239.85562,,0
FY2022,XRP,1ebaf6e1,in_buy_40dfe1567c39b2,166.779,11.65,1942.97535,18.75,3127.10625,1184.1309,,0
FY2022,LTC,1ee89820,in_buy_3fa1b964c291de,1,3005,3005,3256,3256,251,,0
FY2022,LTC,208ad6ed,in_buy_96abf73a3b1a84,0.41240243,2861,1179.88335223,3085,1272.26149655,92.37814432,,0
FY2022,LTC,208ad6ed,in_buy_c8a5cf3bab4644,0.58759757,2858,1679.35385506,3085,1812.73850345,133.38464839,,0
FY2022,LTC,20930ff1,in_buy_732cf929cfcd4e,0.10149757,3235,328.34463895,2989,303.37623673,-24.96840222,,0
