Sales for FY,2022
Date,Currency,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR)
2021-03-20 07:32:33,XRP,S141,35e98343,-78.11900000,7.81,610.11,564.02,-46.09
2021-03-20 11:12:02,XRP,S142,35e98343,-49.88100000,7.81,389.57,363.63,-25.94
2021-03-20 11:12:02,XRP,S142,ae26b7e7,-129.00000000,7.75,999.75,940.41,-59.34
2021-03-20 11:12:02,XRP,S142,3a6dc189,-121.11900000,7.65,926.56,882.96,-43.60
2021-03-20 11:12:11,XRP,S143,3a6dc189,-8.88100000,7.65,67.94,65.01,-2.93
2021-03-20 11:12:11,XRP,S143,1f959b79,-12.00000000,7.55,90.60,87.84,-2.76
2021-03-20 11:12:11,XRP,S143,bbcc07e2,-120.00000000,7.55,906.00,878.40,-27.60
2021-03-20 11:12:11,XRP,S143,710d8021,-134.00000000,7.45,998.30,980.88,-17.42
2021-03-20 11:12:11,XRP,S143,5eaa36d3,-25.11900000,7.25,182.11,183.87,1.76
2021-03-20 16:21:05,XRP,S144,5eaa36d3,-111.88100000,7.25,811.14,827.92,16.78
2021-03-20 16:21:05,XRP,S144,3a5d68b1,-84.11900000,7.05,593.04,622.48,29.44
2021-03-20 16:22:24,XRP,S145,3a5d68b1,-2.00000000,7.05,14.10,14.88,0.78
2021-03-20 16:22:24,XRP,S146,3a5d68b1,-0.00200000,7.05,0.01,0.01,-0.00
2021-03-20 16:22:24,XRP,S147,3a5d68b1,-54.87900000,7.05,386.90,407.20,20.31
2021-03-20 16:22:24,XRP,S147,9e2ffbaf,-19.12100000,6.90,131.93,141.88,9.94
2021-03-20 16:22:29,XRP,S148,9e2ffbaf,-24.00000000,6.90,165.60,178.08,12.48
2021-03-20 16:23:37,XRP,S149,9e2ffbaf,-100.00000000,6.90,690.00,746.00,56.00
2021-03-20 16:24:26,XRP,S150,9e2ffbaf,-0.87900000,6.90,6.07,6.54,0.47
2021-03-20 16:24:26,XRP,S150,bc774af1,-147.00000000,6.78,996.66,1093.68,97.02
2021-03-20 16:24:26,XRP,S150,9fc50866,-150.00000000,6.64,996.00,1116.00,120.00
2021-03-20 16:24:26,XRP,S150,3ed47fb9,-2.12100000,6.51,13.81,15.78,1.97
2021-03-20 16:24:26,XRP,S151,3ed47fb9,-0.30000000,6.51,1.95,2.23,0.28
2021-03-20 18:30:15,XRP,S152,3ed47fb9,-100.00000000,6.51,651.00,759.00,108.00
2021-03-20 20:41:18,XRP,S153,3ed47fb9,-50.00000000,6.51,325.50,384.00,58.50
2021-03-20 20:41:18,XRP,S154,3ed47fb9,-0.05000000,6.51,0.33,0.38,0.05
2021-03-20 22:19:59,XRP,S155,3ed47fb9,-0.52900000,6.51,3.44,4.17,0.72
2021-03-20 22:19:59,XRP,S155,dbbe613a,-157.47100000,6.30,992.07,1240.87,248.80
2021-03-21 13:32:08,XBT,S156,a990fe79,-0.00500000,860000.00,4300.00,4285.00,-15.00
2021-03-21 20:03:06,XBT,S157,a990fe79,-0.00020254,860000.00,174.18,175.40,1.22
2021-03-21 20:03:06,XBT,S157,40aed8d4,-0.00479746,858000.00,4116.22,4154.60,38.38
2021-03-22 10:41:51,XRP,S158,dbbe613a,-0.52900000,6.30,3.33,4.28,0.95
2021-03-22 10:41:51,XRP,S158,20797217,-299.47100000,7.01,2099.29,2425.72,326.42
2021-03-22 16:25:14,XRP,S159,20797217,-300.00000000,7.01,2103.00,2592.00,489.00
2021-03-23 05:33:00,ETH,S160,308e3006,-0.00003900,23200.00,0.90,0.98,0.08
2021-03-23 07:30:24,XBT,S161,40aed8d4,-0.00220254,858000.00,1889.78,1781.85,-107.92
2021-03-23 07:30:24,XBT,S161,0361b913,-0.00079746,851000.00,678.64,645.15,-33.49
2021-03-23 08:44:40,XRP,S162,20797217,-0.52900000,7.01,3.71,4.60,0.89
2021-03-23 08:44:40,XRP,S162,404f1824,-299.47100000,7.64,2287.96,2602.40,314.44
2021-03-23 08:54:38,XBT,S163,0361b913,-0.00300000,851000.00,2553.00,2478.00,-75.00
2021-03-23 09:30:05,ETH,S164,308e3006,-0.03390166,23200.00,786.52,871.61,85.09
2021-03-23 09:30:05,ETH,S164,fcea8af6,-0.04049400,24694.77,999.99,1041.10,41.11
2021-03-23 09:30:05,ETH,S164,ec400593,-0.04132000,24200.87,999.98,1062.34,62.36
2021-03-23 09:30:05,ETH,S164,cf4300b7,-0.04216300,23716.77,999.97,1084.01,84.04
2021-03-23 09:30:05,ETH,S164,ca328fde,-0.04212134,24139.89,1016.80,1082.94,66.14
2021-03-23 11:20:29,XBT,S165,0361b913,-0.00120254,851000.00,1023.36,992.10,-31.27
2021-03-23 11:20:29,XBT,S165,4af2125e,-0.00379746,857000.00,3254.42,3132.90,-121.52
2021-03-23 22:02:10,XRP,S166,404f1824,-0.52900000,7.64,4.04,4.42,0.38
2021-03-23 22:02:10,XRP,S166,d7b3d23f,-199.47100000,7.41,1478.08,1665.58,187.50
2021-03-24 07:17:45,XBT,S167,4af2125e,-0.00320254,857000.00,2744.58,2642.10,-102.48
2021-03-24 07:17:45,XBT,S167,34380951,-0.00679746,852000.00,5791.44,5607.90,-183.53
2021-03-24 08:08:34,XRP,S168,d7b3d23f,-100.52900000,7.41,744.92,829.36,84.44
2021-03-24 08:08:34,XRP,S168,9781889f,-4.00000000,8.30,33.20,33.00,-0.20
2021-03-24 08:08:34,XRP,S168,928ee10a,-47.00000000,8.30,390.10,387.75,-2.35
2021-03-24 08:08:34,XRP,S168,463e60d5,-48.47100000,8.30,402.31,399.89,-2.42
2021-03-24 08:08:50,XBT,S169,34380951,-0.00020254,852000.00,172.56,169.73,-2.84
2021-03-24 08:08:50,XBT,S169,6283f7fa,-0.00279746,851232.50,2381.29,2344.27,-37.02
2021-03-24 08:26:28,XRP,S170,463e60d5,-200.00000000,8.30,1660.00,1670.00,10.00
2021-03-24 08:27:19,XBT,S171,6283f7fa,-0.00300000,851232.50,2553.70,2541.00,-12.70
2021-03-24 09:08:27,XBT,S172,6283f7fa,-0.00220254,851232.50,1874.87,1885.37,10.50
2021-03-24 09:08:27,XBT,S172,853f352e,-0.00500000,841000.00,4205.00,4280.00,75.00
2021-03-24 09:08:27,XBT,S172,dda1cc73,-0.00079746,832000.00,663.49,682.63,19.14
2021-03-24 12:10:35,ETH,S173,ca328fde,-0.03192400,24139.89,770.64,831.93,61.29
2021-03-24 12:10:42,ETH,S174,ca328fde,-0.00807600,24139.89,194.95,210.46,15.51
2021-03-24 13:07:58,XRP,S175,463e60d5,-0.52900000,8.30,4.39,4.48,0.08
2021-03-24 13:07:58,XRP,S175,7bf6b335,-199.47100000,8.42,1679.55,1687.52,7.98
2021-03-24 13:16:44,XBT,S176,dda1cc73,-0.00420254,832000.00,3496.51,3639.40,142.89
2021-03-24 13:16:44,XBT,S176,f8146e1e,-0.00479746,841000.00,4034.66,4154.60,119.94
2021-03-24 20:18:55,XBT,S177,f8146e1e,-0.00001000,841000.00,8.41,8.30,-0.11
2021-03-24 20:21:33,XBT,S178,f8146e1e,-0.00184600,841000.00,1552.49,1537.16,-15.33
2021-03-24 20:21:33,XBT,S179,f8146e1e,-0.00234654,841000.00,1973.44,1953.96,-19.48
2021-03-24 20:21:33,XBT,S179,c76e1fa6,-0.00305446,831000.00,2538.26,2543.45,5.19
2021-03-24 20:21:33,XBT,S180,c76e1fa6,-0.00000100,831000.00,0.83,0.83,-0.00
2021-03-24 20:21:33,XBT,S181,c76e1fa6,-0.00000500,831000.00,4.16,4.16,0.01
2021-03-24 20:21:34,XBT,S182,c76e1fa6,-0.00275300,831000.00,2287.74,2292.42,4.68
2021-03-24 20:21:34,XBT,S183,c76e1fa6,-0.00000200,831000.00,1.66,1.66,-0.00
2021-03-24 21:08:22,XRP,S184,7bf6b335,-100.52900000,8.42,846.45,813.28,-33.17
2021-03-24 21:08:22,XRP,S184,d7dcbf1f,-199.47100000,8.32,1659.60,1613.72,-45.88
2021-03-24 21:08:22,XRP,S185,d7dcbf1f,-0.30000000,8.32,2.50,2.42,-0.08
2021-03-25 05:58:03,XRP,S186,d7dcbf1f,-0.22900000,8.32,1.91,1.75,-0.16
2021-03-25 05:58:03,XRP,S186,802dd545,-200.00000000,8.22,1644.00,1526.00,-118.00
2021-03-25 05:58:03,XRP,S186,fbf1e614,-99.77100000,8.11,809.14,761.25,-47.89
2021-03-25 05:58:03,XRP,S187,fbf1e614,-0.30000000,8.11,2.43,2.28,-0.15
2021-03-25 09:09:52,XRP,S188,fbf1e614,-99.92900000,8.11,810.42,781.44,-28.98
2021-03-25 09:09:52,XRP,S188,7b4a0397,-200.00000000,8.11,1622.00,1564.00,-58.00
2021-03-25 09:09:52,XRP,S188,c14dd228,-0.07100000,8.01,0.57,0.56,-0.01
2021-03-25 09:09:52,XRP,S189,c14dd228,-0.30000000,8.01,2.40,2.34,-0.06
2021-03-26 03:42:38,XBT,S190,c76e1fa6,-0.00012422,831000.00,103.23,100.12,-3.11
2021-03-26 03:45:15,XBT,S191,c76e1fa6,-0.00206032,831000.00,1712.13,1666.80,-45.33
2021-03-26 03:45:15,XBT,S191,7c1000a6,-0.00293968,822000.00,2416.42,2378.20,-38.22
2021-03-26 06:58:14,ETH,S192,ca328fde,-0.00072866,24139.89,17.59,18.36,0.77
2021-03-26 06:58:14,ETH,S192,d90fe77b,-0.04302500,23241.84,999.98,1083.93,83.95
2021-03-26 06:58:14,ETH,S192,5ce31867,-0.02172100,23008.61,499.77,547.22,47.45
2021-03-26 06:58:14,ETH,S192,3bf9d594,-0.00000900,22222.22,0.20,0.23,0.03
